ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
9WI1,small_airport,Black Otter Airport,805,NA,US,US-WI,Spring Prairie,,,9WI1,9WI1,"44.32939910888672, -88.62359619140625"
9WI2,small_airport,Flying Dollar Ranch Airport,840,NA,US,US-WI,Superior,,,9WI2,9WI2,"44.287901, -87.796748"
9WI3,small_airport,Buchholz Farm Airport,955,NA,US,US-WI,Winneconne,,,9WI3,9WI3,"44.285499572753906, -87.98680114746094"
9WI4,small_airport,Faken Airport,904,NA,US,US-WI,Webster Groves,,,9WI4,9WI4,"42.978599548339844, -88.13480377197266"
9WI5,small_airport,Tamarack Airport,850,NA,US,US-WI,Port Washington,,,9WI5,9WI5,"42.82830047607422, -88.57450103759766"
9WI6,small_airport,Kitty Hawk Estates Airport,1500,NA,US,US-WI,Lodi,,,9WI6,9WI6,"45.10409927368164, -89.01679992675781"
9WI7,heliport,Cumberland Healthcare Heliport,1335,NA,US,US-WI,Coloma,,,9WI7,9WI7,"45.540322, -92.053489"
9WI8,small_airport,Fletcher Airport,980,NA,US,US-WI,De Pere,,,9WI8,9WI8,"42.69390106201172, -88.37930297851562"
9WI9,small_airport,Carlson Airport,680,NA,US,US-WI,Sheridan,,,9WI9,9WI9,"46.62080001831055, -92.08190155029297"
9WN1,small_airport,Courtney Plummer Airport,758,NA,US,US-WI,Houston,,,9WN1,9WN1,"44.10689926147461, -88.68399810791016"
9WN2,small_airport,Voyager Village Airstrip,1020,NA,US,US-WI,Venus,,,9WN2,9WN2,"45.96659851074219, -92.14600372314453"
9WN3,small_airport,Ozaukee Airport,800,NA,US,US-WI,Hill,,,9WN3,9WN3,"43.4213981628418, -87.88899993896484"
9WN5,small_airport,Lodi Lakeland Airport,844,NA,US,US-WI,Sherman,,,9WN5,9WN5,"43.326674, -89.522733"
9WN9,small_airport,Coloma Municipal Airport,1100,NA,US,US-WI,Denison,,,,,"44.058383, -89.563256"
9WS2,small_airport,Antique Aerodrome,655,NA,US,US-WI,Sudan,,,9WS2,9WS2,"44.367639, -88.158678"
9WY0,heliport,Sheridan Memorial Hospital Heliport,3880,NA,US,US-WY,Okolona,,,9WY0,9WY0,"44.807664, -106.975449"
9XA1,heliport,ESD 100 Training Field Heliport,91,NA,US,US-TX,Houston,,,9XA1,9XA1,"29.700792, -95.669669"
9XA4,small_airport,Chimera Aerodrome,649,NA,US,US-TX,Brenham,,,9XA4,9XA4,"32.355752, -97.039822"
9XS1,small_airport,The Landing Airport,570,NA,US,US-TX,Bowstring,,,9XS1,9XS1,"31.835599899291992, -96.95279693603516"
9XS2,closed,Beaver Creek Airport,708,NA,US,US-TX,East Gull Lake,,,,,"33.654263, -96.77636"
9XS4,small_airport,Mc Keon Aviation Airport,750,NA,US,US-TX,Eveleth,,,9XS4,9XS4,"33.7342987061, -96.626701355"
9XS6,small_airport,Sudan Airport,3769,NA,US,US-TX,Barron,,,9XS6,9XS6,"34.0531005859375, -102.52200317382812"
9XS7,small_airport,Reeder Airport,530,NA,US,US-TX,Kodiak,,,9XS7,9XS7,"32.94710159301758, -95.95860290527344"
9XS8,heliport,Goodson Honda Heliport,115,NA,US,US-TX,Levelock,,,9XS8,9XS8,"30, -95.42579650878906"
9XS9,small_airport,Rancho Verde Airport,275,NA,US,US-TX,Lawing,,,9XS9,9XS9,"30.27307, -96.44071"
9Y0,small_airport,Bowstring Airport,1372,NA,US,US-MN,Dixie,,,9Y0,9Y0,"47.54990005493164, -93.86689758300781"
9Y2,small_airport,East Gull Lake Airport,1236,NA,US,US-MN,Anchorage,,,,9Y2,"46.383767, -94.374361"
9Y5,seaplane_base,Sky Harbor Seaplane Base,1376,NA,US,US-MN,Saginaw Bay,,,9Y5,9Y5,"47.459598541259766, -92.47660064697266"
9Y7,small_airport,Barron Municipal Airport,1113,NA,US,US-WI,Adin,,,9Y7,9Y7,"45.407501, -91.834297"
9Z3,seaplane_base,Kodiak /Lilly Lake/ Seaplane Base,130,NA,US,US-AK,Seldovia,,,9Z3,9Z3,"57.8026008605957, -152.38299560546875"
9Z8,small_airport,Levelock Airport,39,NA,US,US-AK,Fort Bidwell,,KLL,9Z8,9Z8,"59.12606, -156.860906"
